epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4410.36,1.02987,1.14881,1.37614,0.79518,0.51042,0.58905,0.39607,1.30897,1.45902,1.67329,0.0004655,0.0004655,0.0004655
64,4474.63,0.98585,1.10522,1.37717,0.69563,0.51042,0.54971,0.38021,1.3964,1.59143,1.77325,0.00044075,0.00044075,0.00044075
65,4539.02,0.96572,1.06809,1.34564,0.74343,0.47917,0.55975,0.36712,1.43468,1.59993,1.79729,0.000416,0.000416,0.000416
66,4601.13,0.98938,1.11525,1.35852,0.84497,0.47917,0.59601,0.39747,1.35194,1.4845,1.72838,0.00039125,0.00039125,0.00039125
67,4665.38,0.99774,1.09429,1.36395,0.70894,0.50748,0.57249,0.39669,1.30887,1.4895,1.68268,0.0003665,0.0003665,0.0003665
68,4729.29,1.0287,1.11694,1.38043,0.71541,0.53125,0.58981,0.40661,1.35339,1.49917,1.70271,0.00034175,0.00034175,0.00034175
69,4794.03,0.95581,1.03297,1.3485,0.78611,0.53603,0.57816,0.3911,1.36237,1.50927,1.73541,0.000317,0.000317,0.000317
70,4857.54,0.96763,1.05997,1.34107,0.68419,0.51042,0.57625,0.40217,1.33099,1.49347,1.71329,0.00029225,0.00029225,0.00029225
71,4923.99,0.93671,1.01138,1.34318,0.69737,0.50412,0.54314,0.37061,1.39776,1.57406,1.76682,0.0002675,0.0002675,0.0002675
72,4990.54,0.93043,0.99493,1.33192,0.62578,0.54167,0.57612,0.40224,1.3514,1.47467,1.72028,0.00024275,0.00024275,0.00024275
73,5055.89,0.93073,0.97505,1.34215,0.66564,0.46875,0.53068,0.37892,1.37636,1.56275,1.75445,0.000218,0.000218,0.000218
74,5120.63,0.92183,0.96703,1.34877,0.73781,0.5,0.5756,0.40781,1.34,1.48035,1.72479,0.00019325,0.00019325,0.00019325
