Batch: 550 ảnh từ eval_boxes_550.csv
[ok] SS21-53621^2021_08_25_13_40_50^^.jpg | 1 box | u=523450px (10.5% ảnh) -> eval_masks_550/SS21-53621^2021_08_25_13_40_50^^.png
[ok] SS21-53710^2021_08_26_09_24_52^^.jpg | 1 box | u=300763px (6.0% ảnh) -> eval_masks_550/SS21-53710^2021_08_26_09_24_52^^.png
[ok] SS21-54958^2021_09_02_08_30_00^^.jpg | 1 box | u=592956px (11.9% ảnh) -> eval_masks_550/SS21-54958^2021_09_02_08_30_00^^.png
[ok] SS21-54976^2021_09_01_08_57_34^^.jpg | 1 box | u=243128px (4.9% ảnh) -> eval_masks_550/SS21-54976^2021_09_01_08_57_34^^.png
[ok] SS21-55242^2021_09_01_14_27_01^^.jpg | 1 box | u=126305px (2.5% ảnh) -> eval_masks_550/SS21-55242^2021_09_01_14_27_01^^.png
[ok] SS21-55436^2021_09_02_09_54_13^^.jpg | 1 box | u=297713px (6.0% ảnh) -> eval_masks_550/SS21-55436^2021_09_02_09_54_13^^.png
[ok] SS21-55454^2021_09_02_14_32_50^^.jpg | 1 box | u=305364px (6.1% ảnh) -> eval_masks_550/SS21-55454^2021_09_02_14_32_50^^.png
[ok] SS21-55485^2021_09_03_08_56_04^^.jpg | 1 box | u=300132px (6.0% ảnh) -> eval_masks_550/SS21-55485^2021_09_03_08_56_04^^.png
[ok] SS21-56150^2021_09_06_13_20_36^^.jpg | 1 box | u=291516px (5.8% ảnh) -> eval_masks_550/SS21-56150^2021_09_06_13_20_36^^.png
[ok] SS21-56164^2021_09_06_13_33_41^^.jpg | 1 box | u=107306px (2.2% ảnh) -> eval_masks_550/SS21-56164^2021_09_06_13_33_41^^.png
[ok] SS21-56243^2021_09_07_09_33_37^^.jpg | 1 box | u=281032px (5.6% ảnh) -> eval_masks_550/SS21-56243^2021_09_07_09_33_37^^.png
[ok] SS21-56383^2021_09_07_10_07_30^^.jpg | 1 box | u=210198px (4.2% ảnh) -> eval_masks_550/SS21-56383^2021_09_07_10_07_30^^.png
[ok] SS21-56739^2021_09_08_10_01_44^^.jpg | 1 box | u=64553px (1.3% ảnh) -> eval_masks_550/SS21-56739^2021_09_08_10_01_44^^.png
[ok] SS21-56823^2021_09_08_13_17_41^^.jpg | 1 box | u=260530px (5.2% ảnh) -> eval_masks_550/SS21-56823^2021_09_08_13_17_41^^.png
[ok] SS21-56842^2021_09_09_08_41_59^^.jpg | 1 box | u=544014px (10.9% ảnh) -> eval_masks_550/SS21-56842^2021_09_09_08_41_59^^.png
[ok] SS21-57112^2021_09_09_14_27_07^^.jpg | 1 box | u=140755px (2.8% ảnh) -> eval_masks_550/SS21-57112^2021_09_09_14_27_07^^.png
[ok] SS21-57600^2021_09_14_08_47_35^^.jpg | 1 box | u=33072px (0.7% ảnh) -> eval_masks_550/SS21-57600^2021_09_14_08_47_35^^.png
[ok] SS21-57600^2021_09_14_08_47_46^^.jpg | 1 box | u=223864px (4.5% ảnh) -> eval_masks_550/SS21-57600^2021_09_14_08_47_46^^.png
[ok] SS21-57667^2021_09_14_08_19_22^^.jpg | 1 box | u=73384px (1.5% ảnh) -> eval_masks_550/SS21-57667^2021_09_14_08_19_22^^.png
[ok] SS21-57667^2021_09_14_10_22_07^^.jpg | 1 box | u=43899px (0.9% ảnh) -> eval_masks_550/SS21-57667^2021_09_14_10_22_07^^.png
[ok] SS21-57803^2021_09_13_11_14_48^^.jpg | 1 box | u=68105px (1.4% ảnh) -> eval_masks_550/SS21-57803^2021_09_13_11_14_48^^.png
[ok] SS21-57974^2021_09_15_09_12_17^^.jpg | 1 box | u=142078px (2.8% ảnh) -> eval_masks_550/SS21-57974^2021_09_15_09_12_17^^.png
[ok] SS21-57999^2021_09_14_09_31_35^^.jpg | 1 box | u=289416px (5.8% ảnh) -> eval_masks_550/SS21-57999^2021_09_14_09_31_35^^.png
[ok] SS21-58018^2021_09_15_09_05_08^^.jpg | 1 box | u=700139px (14.0% ảnh) -> eval_masks_550/SS21-58018^2021_09_15_09_05_08^^.png
[ok] SS21-58163^2021_09_15_14_32_34^^.jpg | 1 box | u=99201px (2.0% ảnh) -> eval_masks_550/SS21-58163^2021_09_15_14_32_34^^.png
[ok] SS21-58317^2021_09_15_09_11_09^^.jpg | 1 box | u=943529px (18.9% ảnh) -> eval_masks_550/SS21-58317^2021_09_15_09_11_09^^.png
[ok] SS21-58403^2021_09_16_08_39_26^^.jpg | 1 box | u=87740px (1.8% ảnh) -> eval_masks_550/SS21-58403^2021_09_16_08_39_26^^.png
[ok] SS21-58498^2021_09_16_08_31_07^^.jpg | 1 box | u=354146px (7.1% ảnh) -> eval_masks_550/SS21-58498^2021_09_16_08_31_07^^.png
[ok] SS21-58714^2021_09_16_10_36_53^1234^.jpg | 1 box | u=94337px (1.9% ảnh) -> eval_masks_550/SS21-58714^2021_09_16_10_36_53^1234^.png
[ok] SS21-58714^2021_09_17_08_24_07^^.jpg | 1 box | u=397130px (8.0% ảnh) -> eval_masks_550/SS21-58714^2021_09_17_08_24_07^^.png
[ok] SS21-58874^2021_09_16_09_31_06^^.jpg | 1 box | u=1011243px (20.3% ảnh) -> eval_masks_550/SS21-58874^2021_09_16_09_31_06^^.png
[ok] SS21-58881^2021_09_16_09_38_46^^.jpg | 1 box | u=252306px (5.1% ảnh) -> eval_masks_550/SS21-58881^2021_09_16_09_38_46^^.png
[ok] SS21-58881^2021_09_16_09_41_57^^.jpg | 1 box | u=45056px (0.9% ảnh) -> eval_masks_550/SS21-58881^2021_09_16_09_41_57^^.png
[ok] SS21-58890^2021_09_16_10_37_58^1234^.jpg | 1 box | u=133119px (2.7% ảnh) -> eval_masks_550/SS21-58890^2021_09_16_10_37_58^1234^.png
[ok] SS21-58890^2021_09_16_10_38_26^1234^.jpg | 1 box | u=24302px (0.5% ảnh) -> eval_masks_550/SS21-58890^2021_09_16_10_38_26^1234^.png
[ok] SS21-58890^2021_09_17_08_20_43^^.jpg | 1 box | u=1105087px (22.1% ảnh) -> eval_masks_550/SS21-58890^2021_09_17_08_20_43^^.png
[ok] SS21-58890^2021_09_17_08_21_00^^.jpg | 1 box | u=792412px (15.9% ảnh) -> eval_masks_550/SS21-58890^2021_09_17_08_21_00^^.png
[ok] SS21-59265^2021_09_23_08_24_21^^.jpg | 1 box | u=129619px (2.6% ảnh) -> eval_masks_550/SS21-59265^2021_09_23_08_24_21^^.png
[ok] SS21-60352^2021_09_28_11_08_30^^.jpg | 1 box | u=688054px (13.8% ảnh) -> eval_masks_550/SS21-60352^2021_09_28_11_08_30^^.png
[ok] SS21-60366^2021_09_27_15_01_19^^.jpg | 1 box | u=161292px (3.2% ảnh) -> eval_masks_550/SS21-60366^2021_09_27_15_01_19^^.png
